loan_id,borrower_id,application_date,branch,county,age,employment_type,monthly_income_kes,membership_years,savings_balance_kes,loan_product,loan_amount_kes,loan_term_months,monthly_repayment_kes,other_monthly_debt_kes,debt_to_income_ratio,loan_to_savings_ratio,previous_loans,previous_defaults,previous_late_payments,avg_monthly_inflows_kes,avg_monthly_outflows_kes,mobile_money_active_months,utility_payment_consistency,income_consistency_score,days_overdue,late_payment_count_current,repayment_ratio,loan_status,default,generated_default_probability,risk_category
5009570,109570,2024-01-01,Nairobi CBD,Nairobi,21,Casual,28600,2,44900,Agriculture,68300,6,11900,800,0.444,1.521,4,0,1,27000,25700,22,0.753,0.642,6,0,0.873,Late,0,0.026,Low
5046553,146553,2024-01-01,Nyeri,Kakamega,45,Salaried,50400,5,91400,Development,363300,36,11900,9000,0.415,3.975,9,0,1,50400,35100,53,0.754,0.94,3,0,0.965,Current,0,0.0649,Low
5000353,100353,2024-01-01,Kisumu,Nairobi,50,Business Owner,64200,8,174700,Asset Finance,252400,24,12200,15700,0.435,1.445,16,0,0,84600,78700,93,0.777,0.938,1,0,0.833,Current,0,0.0229,Low
5013827,113827,2024-01-01,Meru,Kisumu,27,Self-Employed,52900,1,223200,Business,338300,12,32100,14700,0.885,1.516,6,0,2,48500,35900,11,0.747,0.735,3,0,0.882,Late,0,0.0715,Low
5008668,108668,2024-01-01,Westlands,Uasin Gishu,53,Salaried,117000,2,309300,Development,669900,36,22000,23800,0.391,2.166,4,0,2,157700,150500,21,1.0,1.0,4,3,1.018,Late,0,0.0487,Low
5022970,122970,2024-01-01,Nakuru,Meru,25,Self-Employed,128000,11,200900,Agriculture,366900,12,33100,24300,0.448,1.826,9,0,2,169400,148000,130,0.611,0.78,5,1,0.863,Late,0,0.0193,Low
5009537,109537,2024-01-01,Embu,Kakamega,31,Business Owner,112900,6,246100,Emergency,655300,6,117800,10000,1.132,2.663,9,1,0,122700,99300,69,0.78,0.657,10,0,0.867,Late,0,0.0953,Low
5040061,140061,2024-01-01,Nyeri,Other,38,Salaried,79400,3,249300,Business,366800,12,32900,22000,0.691,1.471,3,0,0,67500,44400,34,0.87,0.813,2,0,0.909,Late,0,0.0487,Low
5017056,117056,2024-01-01,Embu,Kisumu,44,Salaried,48100,10,65300,Agriculture,213500,6,39800,6800,0.969,3.27,18,1,0,63400,57900,84,0.764,0.598,9,0,0.973,Current,0,0.0607,Low
5004604,104604,2024-01-01,Mombasa,Other,52,Self-Employed,41500,3,113300,Agriculture,80500,6,15900,12800,0.692,0.711,6,1,1,39200,27800,32,0.827,0.788,4,0,0.908,Late,0,0.0576,Low
5040920,140920,2024-01-01,Nakuru,Kiambu,42,Self-Employed,58500,7,190100,Emergency,390400,12,38900,17600,0.966,2.054,12,0,0,59800,44400,67,0.898,0.628,2,0,0.987,Late,0,0.042,Low
5019216,119216,2024-01-01,Mombasa,Uasin Gishu,30,Salaried,74700,16,161300,Development,368700,36,12200,9900,0.296,2.286,19,1,1,73600,66100,161,0.753,1.0,4,0,0.901,Current,0,0.0122,Low
5011643,111643,2024-01-01,Mombasa,Kiambu,36,Self-Employed,54800,1,199000,Business,285000,12,25300,13800,0.714,1.432,2,1,0,51100,49300,10,0.91,0.712,4,0,0.918,Current,0,0.1587,Moderate
5030397,130397,2024-01-01,Thika,Kisumu,42,Casual,30500,10,32100,Asset Finance,83700,36,2700,2100,0.157,2.607,16,0,2,33300,28600,102,0.607,0.872,2,0,0.956,Current,0,0.0349,Low
5026227,126227,2024-01-01,Embu,Mombasa,32,Farmer,103900,7,84300,Agriculture,267700,6,47900,20900,0.662,3.176,11,1,0,117400,76400,61,0.681,0.762,3,0,0.963,Late,0,0.0669,Low
5044555,144555,2024-01-01,Kisumu,Nakuru,27,Salaried,85100,4,407000,Asset Finance,689200,48,17200,26300,0.511,1.693,4,1,1,101600,92700,40,0.973,0.87,5,0,0.94,Late,0,0.1489,Moderate
5037559,137559,2024-01-01,Nakuru,Embu,34,Self-Employed,71900,1,190900,Agriculture,224400,12,22700,15900,0.537,1.175,0,0,0,85400,68100,8,0.655,0.788,7,0,0.891,Current,0,0.0703,Low
5047828,147828,2024-01-01,Nairobi CBD,Mombasa,42,Salaried,78600,6,258200,Development,453400,36,14500,9900,0.31,1.756,8,0,0,98800,88700,54,1.0,0.87,7,0,1.008,Late,0,0.0143,Low
5003302,103302,2024-01-01,Thika,Machakos,32,Farmer,59600,5,199900,Asset Finance,215700,48,5000,3400,0.141,1.079,5,0,0,59000,53400,44,0.85,0.708,8,1,0.962,Late,0,0.0185,Low
5049668,149668,2024-01-01,Nyeri,Other,27,Farmer,46300,2,96100,Agriculture,164200,12,15300,10900,0.566,1.709,2,0,1,42400,40700,20,0.604,0.85,10,0,0.957,Current,0,0.0576,Low
5049632,149632,2024-01-01,Kisumu,Nairobi,42,Salaried,59600,6,291300,School Fees,393600,3,150100,7700,2.5,1.351,5,0,2,56500,44300,60,0.814,0.811,7,0,1.001,Late,0,0.0997,Low
5034395,134395,2024-01-01,Kisumu,Nairobi,32,Salaried,91500,3,292700,Business,722000,6,135500,5600,1.542,2.467,6,0,2,88900,71000,25,0.817,0.962,6,1,0.921,Late,0,0.1432,Moderate
5000727,100727,2024-01-01,Nyeri,Nairobi,40,Salaried,67600,4,48100,Agriculture,322300,6,63300,6000,1.025,6.701,4,0,1,84900,74400,36,0.842,0.991,2,0,0.893,Late,0,0.3079,High
5020126,120126,2024-01-01,Nairobi CBD,Nakuru,29,Salaried,113200,3,484500,Business,722700,6,141100,5700,1.297,1.492,4,0,0,128600,96100,33,0.588,0.786,9,0,0.984,Current,0,0.0734,Low
5025992,125992,2024-01-01,Embu,Mombasa,27,Self-Employed,93400,17,248200,Agriculture,328800,6,62100,30000,0.986,1.325,18,0,2,107500,72300,180,0.812,0.545,8,1,0.947,Current,0,0.0071,Low
5019332,119332,2024-01-01,Westlands,Machakos,42,Casual,26600,3,54200,Development,64200,12,6100,2200,0.312,1.185,2,0,4,26400,20400,32,0.635,0.584,2,0,0.838,Late,0,0.0195,Low
5007708,107708,2024-01-01,Nyeri,Nakuru,29,Business Owner,94400,10,262500,Development,292200,12,28300,16500,0.475,1.113,18,1,1,102500,95400,80,0.998,0.949,11,0,0.869,Late,0,0.0135,Low
5019293,119293,2024-01-01,Embu,Nairobi,37,Casual,30900,7,140600,School Fees,140300,12,12700,4800,0.566,0.998,7,0,1,28800,27900,65,0.974,0.718,9,1,0.945,Current,0,0.0374,Low
5005805,105805,2024-01-01,Eldoret,Nairobi,34,Self-Employed,57800,4,240100,Business,242700,6,48500,15900,1.114,1.011,5,0,0,59400,45100,47,0.743,0.905,6,0,0.875,Late,0,0.0307,Low
5014475,114475,2024-01-01,Kisumu,Meru,41,Self-Employed,39900,3,142200,Asset Finance,298700,60,5600,10900,0.414,2.101,2,0,1,44600,43700,36,0.804,0.638,5,1,0.93,Current,0,0.0387,Low
5045853,145853,2024-01-01,Nakuru,Machakos,38,Self-Employed,61500,5,324700,School Fees,279400,12,24900,18100,0.699,0.86,8,0,1,82400,78100,55,0.886,0.994,7,1,0.895,Late,0,0.0135,Low
5033027,133027,2024-01-01,Embu,Nairobi,37,Business Owner,98200,4,118100,School Fees,542700,3,189100,32800,2.26,4.595,6,0,0,103100,95900,33,0.898,0.98,7,1,0.949,Late,0,0.404,High
5016713,116713,2024-01-01,Nairobi CBD,Machakos,51,Self-Employed,88200,6,313700,Emergency,819300,6,164700,16100,2.05,2.612,4,0,0,103600,86100,56,0.67,0.966,5,2,0.946,Late,0,0.3359,High
5035979,135979,2024-01-01,Nakuru,Nairobi,38,Farmer,91400,8,500100,Development,524500,36,16400,31500,0.524,1.049,9,0,0,112400,97300,91,1.0,0.947,2,1,0.858,Current,0,0.005,Low
5022119,122119,2024-01-01,Thika,Nairobi,47,Farmer,43900,3,128400,Agriculture,263700,6,53200,14100,1.533,2.054,8,0,1,44200,33900,30,0.915,0.466,20,0,1.007,Late,0,0.2637,High
5048751,148751,2024-01-01,Embu,Nairobi,54,Casual,12500,1,78100,Asset Finance,49500,36,1500,3600,0.408,0.634,0,0,0,15500,11900,12,0.992,0.521,8,1,0.972,Late,0,0.0685,Low
5027134,127134,2024-01-01,Kisumu,Kiambu,49,Salaried,64600,2,92100,Business,346900,36,11700,21900,0.52,3.767,6,0,1,76900,68900,16,0.611,0.737,10,1,0.96,Late,0,0.1305,Moderate
5031522,131522,2024-01-01,Embu,Other,41,Self-Employed,93100,11,192900,Emergency,583400,6,110100,17000,1.365,3.024,17,0,3,82300,68900,92,0.99,0.706,103,2,0.296,Defaulted,1,0.1146,Moderate
5025442,125442,2024-01-01,Nakuru,Nakuru,29,Salaried,115500,10,325500,Development,611500,12,53800,29200,0.719,1.879,14,0,2,153000,115300,82,0.646,0.689,1,1,0.888,Current,0,0.0258,Low
5015271,115271,2024-01-01,Eldoret,Nairobi,41,Salaried,72600,11,305500,Development,338800,12,30700,3500,0.471,1.109,17,1,4,75800,53300,126,0.658,0.622,3,1,0.911,Late,0,0.0113,Low
5004665,104665,2024-01-01,Thika,Other,41,Casual,19500,8,26300,Development,80000,12,8100,4300,0.636,3.042,10,0,2,24200,20200,78,0.739,0.449,9,1,0.85,Late,0,0.0295,Low
5021018,121018,2024-01-01,Embu,Other,29,Business Owner,102500,3,344500,Agriculture,458300,18,30400,2700,0.323,1.33,3,0,2,111700,89300,32,0.82,1.0,13,2,0.904,Late,0,0.0196,Low
5007969,107969,2024-01-01,Embu,Uasin Gishu,41,Self-Employed,99500,3,227600,School Fees,438300,3,166900,2000,1.697,1.926,6,0,0,109000,88100,25,0.698,0.824,2,2,0.92,Current,0,0.1525,Moderate
5017986,117986,2024-01-01,Thika,Kisumu,40,Self-Employed,64900,7,316000,School Fees,414300,12,39100,9000,0.741,1.311,0,0,0,73100,64700,70,0.882,0.755,10,1,0.982,Late,0,0.0241,Low
5025866,125866,2024-01-01,Westlands,Kakamega,25,Salaried,47500,4,230600,Business,236500,36,7200,6100,0.28,1.026,8,0,0,56200,39600,34,0.788,0.827,3,0,0.876,Late,0,0.0346,Low
5020834,120834,2024-01-01,Embu,Nairobi,21,Business Owner,87300,6,238500,School Fees,560300,6,100200,30100,1.493,2.349,14,0,1,90700,64600,56,0.834,0.602,4,2,0.891,Current,0,0.1253,Moderate
5041308,141308,2024-01-01,Embu,Embu,47,Self-Employed,47000,1,210900,Agriculture,375200,12,34400,14500,1.04,1.779,5,0,2,49400,37000,10,0.93,1.0,7,1,0.858,Late,0,0.1025,Moderate
5031849,131849,2024-01-01,Mombasa,Uasin Gishu,56,Salaried,45400,6,208000,Emergency,231800,3,92100,6400,2.17,1.114,7,0,3,60100,49800,70,1.0,0.763,4,0,0.924,Current,0,0.113,Moderate
5031951,131951,2024-01-01,Mombasa,Machakos,52,Self-Employed,28500,2,73600,Business,114000,12,10300,6000,0.572,1.549,4,0,1,34300,27000,19,0.86,0.866,11,0,0.834,Late,0,0.0366,Low
5022612,122612,2024-01-01,Nakuru,Nairobi,38,Business Owner,104600,3,418000,Development,620800,12,57900,11200,0.661,1.485,2,0,1,129900,112900,31,0.65,0.893,48,0,0.3,Defaulted,1,0.0485,Low
5028032,128032,2024-01-01,Embu,Embu,21,Business Owner,108500,3,330400,Agriculture,215000,6,41000,6000,0.433,0.651,7,0,1,106200,102600,24,0.894,0.638,5,0,0.946,Late,0,0.0252,Low
5002295,102295,2024-01-01,Nyeri,Nairobi,39,Salaried,51200,6,264600,Development,287200,12,27300,11900,0.766,1.085,7,0,1,47600,38600,61,0.865,1.0,23,2,0.933,Late,0,0.0166,Low
5014551,114551,2024-01-01,Nairobi CBD,Kakamega,26,Salaried,50900,8,198400,Agriculture,172700,6,30600,7700,0.752,0.87,6,0,0,53400,38900,92,0.714,1.0,4,0,0.858,Late,0,0.0096,Low
5020872,120872,2024-01-01,Nairobi CBD,Machakos,56,Self-Employed,37900,2,67900,Business,136200,24,6000,6200,0.322,2.006,3,0,0,34500,31700,19,0.933,0.696,7,0,0.84,Current,0,0.0383,Low
5047823,147823,2024-01-02,Westlands,Meru,49,Casual,25900,4,2000,Development,158400,12,15500,4800,0.784,79.2,2,0,0,32800,28700,33,0.713,0.889,82,6,0.738,Defaulted,1,1.0,Very High
5027045,127045,2024-01-02,Thika,Nairobi,33,Business Owner,87100,2,282000,Agriculture,190400,12,17000,5500,0.258,0.675,4,0,1,92800,63500,24,0.834,0.633,4,0,0.895,Late,0,0.0212,Low
5020228,120228,2024-01-02,Eldoret,Nakuru,42,Salaried,89200,2,334000,Asset Finance,448600,36,14100,5900,0.224,1.343,4,0,0,109500,76700,17,0.782,0.735,4,0,0.998,Current,0,0.0194,Low
5006557,106557,2024-01-02,Nakuru,Nairobi,25,Self-Employed,82000,14,43300,Business,496600,36,15600,14800,0.371,11.469,24,0,0,75500,69500,162,0.849,0.951,1,0,0.928,Late,0,0.1355,Moderate
5010218,110218,2024-01-02,Meru,Nairobi,57,Salaried,48400,2,114600,Emergency,195100,12,19600,4500,0.498,1.702,3,0,0,62400,51000,17,0.828,0.875,2,0,1.013,Late,0,0.0491,Low
5025635,125635,2024-01-02,Nakuru,Nyeri,42,Self-Employed,46500,4,200000,Business,345500,24,15200,5200,0.439,1.728,3,1,0,57400,53500,36,0.963,0.749,1,2,0.913,Current,0,0.038,Low
5041575,141575,2024-01-02,Embu,Kisumu,42,Salaried,95100,3,157300,Development,460800,36,14700,7100,0.229,2.929,6,0,1,127800,121600,25,0.758,0.499,5,0,0.866,Current,0,0.036,Low
5019356,119356,2024-01-02,Mombasa,Mombasa,46,Casual,60700,8,199500,School Fees,249300,6,44000,4000,0.791,1.25,8,0,3,78900,66800,77,0.993,0.764,1,2,0.985,Late,0,0.0438,Low
5000491,100491,2024-01-02,Nyeri,Nairobi,49,Self-Employed,93100,2,125500,Business,298200,36,9200,11900,0.227,2.376,3,0,0,112100,74900,20,0.871,0.769,3,2,0.962,Late,0,0.0694,Low
