loan_id,borrower_id,application_date,branch,county,age,employment_type,monthly_income_kes,membership_years,savings_balance_kes,loan_product,loan_amount_kes,loan_term_months,monthly_repayment_kes,other_monthly_debt_kes,debt_to_income_ratio,loan_to_savings_ratio,previous_loans,previous_defaults,previous_late_payments,avg_monthly_inflows_kes,avg_monthly_outflows_kes,mobile_money_active_months,utility_payment_consistency,income_consistency_score,days_overdue,late_payment_count_current,repayment_ratio,loan_status,default,generated_default_probability,risk_category,loan_to_income_ratio,total_debt_service_ratio,monthly_cash_flow,cash_flow_to_income_ratio,repayment_to_income_ratio,savings_to_income_ratio,repayment_ratio_group,debt_service_group,savings_ratio_group,default_probability,risk_score,risk_band
5009570,109570,2024-01-01,Nairobi CBD,Nairobi,21,Casual,28600,2,44900,Agriculture,68300,6,11900,800,0.027972027972027972,1.521,4,0,1,27000,25700,22,0.753,0.642,6,0,0.873,Late,0,0.026,Low,2.388111888111888,0.44405594405594406,1300,0.045454545454545456,0.4160839160839161,1.56993006993007,30-50%,30-50%,100-200%,0.048076277143330445,4.807627714333044,Low Risk
5046553,146553,2024-01-01,Nyeri,Kakamega,45,Salaried,50400,5,91400,Development,363300,36,11900,9000,0.17857142857142858,3.975,9,0,1,50400,35100,53,0.754,0.94,3,0,0.965,Current,0,0.0649,Low,7.208333333333333,0.4146825396825397,15300,0.30357142857142855,0.2361111111111111,1.8134920634920635,0-30%,30-50%,100-200%,0.0754424112736734,7.54424112736734,Low Risk
5000353,100353,2024-01-01,Kisumu,Nairobi,50,Business Owner,64200,8,174700,Asset Finance,252400,24,12200,15700,0.24454828660436137,1.445,16,0,0,84600,78700,93,0.777,0.938,1,0,0.833,Current,0,0.0229,Low,3.931464174454829,0.43457943925233644,5900,0.09190031152647975,0.19003115264797507,2.721183800623053,0-30%,30-50%,200-300%,0.01833639569334548,1.833639569334548,Low Risk
5013827,113827,2024-01-01,Meru,Kisumu,27,Self-Employed,52900,1,223200,Business,338300,12,32100,14700,0.277882797731569,1.516,6,0,2,48500,35900,11,0.747,0.735,3,0,0.882,Late,0,0.0715,Low,6.395085066162571,0.8846880907372401,12600,0.2381852551984877,0.6068052930056711,4.219281663516068,50-70%,70-100%,300%+,0.07634724808429787,7.6347248084297865,Low Risk
5008668,108668,2024-01-01,Westlands,Uasin Gishu,53,Salaried,117000,2,309300,Development,669900,36,22000,23800,0.20341880341880342,2.166,4,0,2,157700,150500,21,1.0,1.0,4,3,1.018,Late,0,0.0487,Low,5.725641025641026,0.39145299145299145,7200,0.06153846153846154,0.18803418803418803,2.6435897435897435,0-30%,30-50%,200-300%,0.05804188181745953,5.804188181745952,Low Risk
5022970,122970,2024-01-01,Nakuru,Meru,25,Self-Employed,128000,11,200900,Agriculture,366900,12,33100,24300,0.18984375,1.826,9,0,2,169400,148000,130,0.611,0.78,5,1,0.863,Late,0,0.0193,Low,2.86640625,0.4484375,21400,0.1671875,0.25859375,1.56953125,0-30%,30-50%,100-200%,0.01949200157239652,1.949200157239652,Low Risk
5009537,109537,2024-01-01,Embu,Kakamega,31,Business Owner,112900,6,246100,Emergency,655300,6,117800,10000,0.08857395925597875,2.663,9,1,0,122700,99300,69,0.78,0.657,10,0,0.867,Late,0,0.0953,Low,5.804251550044287,1.1319751992914082,23400,0.20726306465899025,1.0434012400354296,2.179805137289637,100%+,100%+,200-300%,0.12963618230718096,12.963618230718096,Moderate Risk
5040061,140061,2024-01-01,Nyeri,Other,38,Salaried,79400,3,249300,Business,366800,12,32900,22000,0.2770780856423174,1.471,3,0,0,67500,44400,34,0.87,0.813,2,0,0.909,Late,0,0.0487,Low,4.619647355163728,0.6914357682619647,23100,0.29093198992443325,0.41435768261964734,3.1397984886649875,30-50%,50-70%,300%+,0.04179367853648705,4.179367853648705,Low Risk
5017056,117056,2024-01-01,Embu,Kisumu,44,Salaried,48100,10,65300,Agriculture,213500,6,39800,6800,0.14137214137214138,3.27,18,1,0,63400,57900,84,0.764,0.598,9,0,0.973,Current,0,0.0607,Low,4.4386694386694385,0.9688149688149689,5500,0.11434511434511435,0.8274428274428275,1.3575883575883576,70-100%,70-100%,100-200%,0.07428536039078706,7.428536039078707,Low Risk
5004604,104604,2024-01-01,Mombasa,Other,52,Self-Employed,41500,3,113300,Agriculture,80500,6,15900,12800,0.30843373493975906,0.711,6,1,1,39200,27800,32,0.827,0.788,4,0,0.908,Late,0,0.0576,Low,1.9397590361445782,0.691566265060241,11400,0.2746987951807229,0.38313253012048193,2.730120481927711,30-50%,50-70%,200-300%,0.046647638452835934,4.664763845283593,Low Risk
